name,xshift,yshift,rot,scale,rmsxpix,rmsypix,xsc,ysc,exptime,rmsx,rmsy,rms,detector
idb613m0q_flc.fits,16.386589999999998,-0.990682,0.009228,1.000014,0.080052,0.134379,40.80630193708243,38.346756463280116,350.0,3.266626082667323,5.1529987867791185,6.101167303107621,uvis
idb613m3q_flc.fits,16.085869,-0.449161,0.0073409999999999994,1.000024,0.063328,0.063452,40.81348366484266,38.3496174570061,700.0,2.5846362935271556,2.4333599268819506,3.5498711671795538,uvis
idb613m7q_flc.fits,16.165056,-0.9720610000000001,0.009822,1.000014,0.10686300000000001,0.128525,40.805746178425025,38.3475249844418,540.0,4.360624453865034,4.928615648625382,6.580752072485387,uvis
idb614n3q_flc.fits,-3.493985,-4.052211,0.007018000000000001,1.000022,0.083999,0.08796799999999999,40.81426783889601,38.34930092696157,550.0,3.428357684199426,3.373511303942955,4.80980404264458,uvis
idb614n6q_flc.fits,-3.065873,-4.4451529999999995,0.009469,0.999985,0.067955,0.11234300000000001,40.80715051992291,38.34768395070457,350.0,2.773049913581361,4.308093858074004,5.123424490825307,uvis
idb614n9q_flc.fits,-3.443089,-3.90769,0.006357,1.00001,0.062221000000000005,0.08919099999999999,40.81367950350742,38.34985873516642,700.0,2.5394679523877355,3.420462250448228,4.260100877672466,uvis
idb614ndq_flc.fits,-3.261558,-4.4728639999999995,0.009604999999999999,1.0000120000000001,0.063648,0.095845,40.80611518459008,38.34617420361265,540.0,2.597227619268789,3.6752890665452544,4.500371210129194,uvis
idb615rxq_flc.fits,-3.186501,-3.8294980000000005,0.006741,1.000018,0.070355,0.076949,40.81471069649071,38.350357106221026,550.0,2.8715189710516036,2.951021628966602,4.117541724832665,uvis
idb615s0q_flc.fits,-2.97497,-4.360263,0.008865000000000001,1.000005,0.066749,0.09741699999999999,40.807569589289045,38.34698019372192,350.0,2.7238644625154547,3.7356477695318078,4.623256630143148,uvis
idb615s3q_flc.fits,-3.327397,-3.8084,0.006684999999999999,1.000022,0.067812,0.08673600000000001,40.81414143646262,38.34952200144184,700.0,2.767688559089403,3.32628414031706,4.327154508708833,uvis
idb615s7q_flc.fits,-3.1936080000000002,-4.416119999999999,0.009238,1.0000229999999999,0.07652300000000001,0.077152,40.80697254438424,38.34581684995529,540.0,3.1226719600139154,2.9584564616077507,4.301574689004691,uvis
idb616edq_flc.fits,-0.569383,-5.507601,0.007306999999999999,1.000017,0.078203,0.09288400000000001,38.35761072231611,40.822706282061716,550.0,2.999680231317287,3.791776250303021,4.834836979931978,uvis
idb616egq_flc.fits,-0.324577,-6.0767169999999995,0.010204000000000001,1.000008,0.078683,0.092771,38.35435153153192,40.81548582497644,350.0,3.017835441555526,3.7864934354688895,4.841989600273593,uvis
idb616ejq_flc.fits,-0.45147299999999996,-5.5931489999999995,0.0076040000000000005,1.000017,0.07659099999999999,0.084959,38.35650936270597,40.822253645291255,700.0,2.9377634085990127,3.4682178474503,4.545216043520493,uvis
idb616enq_flc.fits,-0.035679,-6.206777,0.010124,1.000006,0.077852,0.10859500000000001,38.35325042475918,40.81440870913901,540.0,2.985877252068352,4.432240713768951,5.3441763359015715,uvis
idb617ojq_flc.fits,-0.7939069999999999,-6.717544999999999,0.008553,1.0000129999999998,0.068507,0.073539,38.35657659877843,40.82236034849996,550.0,2.627693993052514,3.0020355576683384,3.989610659027935,uvis
idb617onq_flc.fits,-0.435712,-7.3055639999999995,0.01091,1.000001,0.078231,0.085462,38.353521585184325,40.81484060859468,350.0,3.000434347130555,3.488117908091718,4.6010404054073355,uvis
idb617oqq_flc.fits,-0.923458,-6.59052,0.008798,1.0000149999999999,0.066998,0.07746900000000001,38.356731345708404,40.82266254054209,700.0,2.5698242866997716,3.162490844353256,4.0749656691965095,uvis
idb617ouq_flc.fits,-0.507017,-7.204416,0.011040000000000001,1.000002,0.060687,0.0793,38.35345223617418,40.81476180878425,540.0,2.327555955856702,3.2366106114365905,3.9866232550503122,uvis
idb618tbq_flc.fits,-7.412663,0.9919950000000001,0.008216,1.0000209999999998,0.067317,0.071124,38.35702258710432,40.8226957286737,550.0,2.5820796894961013,2.9034734110061886,3.8855235646342687,uvis
idb618teq_flc.fits,-7.022378,0.46137700000000004,0.010555,1.000011,0.069859,0.08332300000000001,38.353636355182346,40.81497374039632,350.0,2.679346682136684,3.400826056971043,4.329493794065314,uvis
idb618tiq_flc.fits,-7.088832000000001,0.995827,0.008217,1.000017,0.066705,0.06803300000000001,38.35605667094584,40.82166046920724,700.0,2.5585407602354424,2.7772200267015763,3.7761199528747045,uvis
idb618tqq_flc.fits,-7.7699929999999995,0.331955,0.012559,1.000005,0.12286300000000001,0.135687,38.35506087530658,40.81578512908699,540.0,4.712417844322792,5.538171436810426,7.271741524765215,uvis
idb619k4q_flc.fits,-0.092776,-5.46742,359.99686299999996,1.000026,0.084721,0.067701,40.814042892643,38.349366768348034,550.0,3.457806527907608,2.59629047958393,4.324020147827554,uvis
idb619k7q_flc.fits,0.13141,-5.948341,359.999282,1.000002,0.08697300000000001,0.076836,40.80735878496853,38.346571390883526,350.0,3.5491384156050683,2.9463971593899267,4.612769202332227,uvis
idb619kaq_flc.fits,-0.24176399999999998,-5.3862879999999995,359.997563,1.000035,0.065695,0.071096,40.813812592639515,38.34840055236116,700.0,2.681263418273453,2.7264178856706693,3.8239414228615436,uvis
idb619keq_flc.fits,-0.165852,-5.885107,359.999425,1.0000149999999999,0.071255,0.086435,40.80673479564641,38.345313858085,540.0,2.907683887863785,3.314377203323577,4.409049992646224,uvis
idb620l1q_flc.fits,-1.517588,-6.572978,0.007749,1.0000229999999999,0.084608,0.093445,40.813640696109566,38.34928193527939,550.0,3.453160512016438,3.5835486504421827,4.976558896650939,uvis
idb620l4q_flc.fits,-1.3478709999999998,-7.07788,0.010615000000000001,1.000002,0.081914,0.10109,40.8060888431505,38.345809645733475,350.0,3.34258996149783,3.8763778970871967,5.118516704254488,uvis
idb620l7q_flc.fits,-1.6844080000000001,-6.570628999999999,0.007965,1.000018,0.079144,0.086878,40.81433896964488,38.34912098785217,700.0,3.2302100434135745,3.3316949331826207,4.640522390029454,uvis
idb620lbq_flc.fits,-1.321238,-7.088278999999999,0.010735,1.000014,0.104145,0.135419,40.80555534294626,38.346041435185235,540.0,4.249694561191139,5.19278258511135,6.7100592277306506,uvis
idb621hyq_flc.fits,1.892455,-11.09878,0.007553,1.0000200000000001,0.061131,0.079932,40.813273488479496,38.348697200543725,550.0,2.49495622162424,3.065288064633861,3.9523154564139116,uvis
idb621i1q_flc.fits,2.309916,-11.571409,0.010825,1.0000209999999998,0.081694,0.10994000000000001,40.80584987777544,38.34691210618907,350.0,3.3335930999149865,4.215859516954427,5.37459900108799,uvis
idb621i4q_flc.fits,1.970425,-11.127119,0.0077599999999999995,1.000018,0.063436,0.07487200000000001,40.813472776343374,38.34913650536015,700.0,2.5890434590401186,2.8712765484293254,3.8661835251781107,uvis
idb621i8q_flc.fits,2.125514,-11.6427,0.010182,1.0000069999999999,0.06725,0.098842,40.806540698637015,38.34585904104481,540.0,2.7442398619833392,3.7901813993349514,4.679351179379785,uvis
idb622qyq_flc.fits,-7.363391,-6.320646,0.006537,1.0000149999999999,0.09084600000000001,0.067601,38.35788485869538,40.82265983173852,550.0,3.4846604078730405,2.7596526272853557,4.445058017785692,uvis
idb622r1q_flc.fits,-7.150491000000001,-6.880161,0.009156000000000001,1.000006,0.078436,0.070863,38.35507335175676,40.815271977640045,350.0,3.0084185334183933,2.8922926181515063,4.173240786394786,uvis
idb622r4q_flc.fits,-7.2625779999999995,-6.289514,0.006534999999999999,1.0000200000000001,0.07950299999999999,0.061715,38.356695481261426,40.82164493359944,700.0,3.049472360846727,2.519307817077089,3.955526963219166,uvis
idb622r8q_flc.fits,-6.877457000000001,-6.801514,0.009071,1.000002,0.084603,0.066911,38.35376956337762,40.81428601300946,540.0,3.2448439663704365,2.7309246914164755,4.241103870017663,uvis
idb623dvq_flc.fits,-6.481424,0.865186,0.006512,1.000016,0.06919199999999999,0.07989600000000001,38.45657832728548,40.95817643829047,550.0,2.660887567621536,3.272394464713656,4.217687539423876,uvis
idb623dyq_flc.fits,-6.200539,0.320459,0.008646,1.000009,0.069898,0.081451,38.45280218875289,40.950852157386706,350.0,2.68777396738945,3.3354878590713044,4.283644261349033,uvis
idb623e1q_flc.fits,-6.1200529999999995,0.888175,0.005889,1.0000200000000001,0.067647,0.079776,38.455292716801026,40.95730511101078,700.0,2.601385186413439,3.267409972535996,4.176502462194768,uvis
